Food Name,Category,Veg/Non-Veg,Food Type,Tags,Calories (kcal),Protein (g),Carbs (g),Fat (g)
Palak Paneer - Region 4,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 4,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 4,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 4,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 4,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 4,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 4,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 4,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 4,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 4,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 5,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 5,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 5,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 5,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 5,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 5,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 5,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 5,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 5,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 5,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 5,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 5,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 5,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 5,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 5,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 5,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 5,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 5,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 5,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 6,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 6,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 6,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 6,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 6,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 6,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 6,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 6,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 6,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 6,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 6,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 6,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 6,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 6,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 6,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 6,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 6,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 6,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 6,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 7,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 7,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 7,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 7,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 7,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 7,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 7,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 7,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 7,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 7,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 7,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 7,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 7,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 7,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 7,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 7,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 7,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 7,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 7,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 8,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 8,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 8,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 8,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 8,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 8,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 8,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 8,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 8,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 8,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 8,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 8,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 8,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 8,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 8,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 8,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 8,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 8,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 8,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 9,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 9,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 9,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 9,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 9,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 9,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 9,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 9,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 9,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 9,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 9,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 9,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 9,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 9,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 9,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 9,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 9,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 9,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 9,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 10,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 10,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 10,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 10,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 10,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 10,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 10,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 10,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 10,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 10,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 10,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 10,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 10,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 10,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 10,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 10,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 10,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 10,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 10,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 11,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 11,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 11,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 11,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 11,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 11,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 11,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 11,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 11,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 11,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 11,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 11,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 11,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 11,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 11,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 11,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 11,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 11,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 11,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 12,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 12,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 12,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 12,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 12,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 12,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 12,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 12,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 12,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 12,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 12,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 12,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 12,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 12,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 12,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 12,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 12,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 12,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 12,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 13,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 13,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 13,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 13,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 13,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 13,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 13,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 13,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 13,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 13,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 13,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 13,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 13,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 13,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 13,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 13,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 13,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 13,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 13,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 14,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 14,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 14,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 14,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 14,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 14,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 14,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 14,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 14,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 14,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 14,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 14,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 14,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 14,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 14,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 14,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 14,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 14,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 14,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 15,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 15,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 15,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 15,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 15,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 15,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 15,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 15,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 15,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 15,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 15,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 15,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 15,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 15,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 15,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 15,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 15,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 15,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 15,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 16,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 16,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 16,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 16,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 16,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 16,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 16,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 16,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 16,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
